resultId,raceId,driverId,constructorId,number,grid,driver_championship_standings,positionText,race_position_order,driver_season_points,laps,time_x,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,year,round,circuitId,name,date,time_y,driverStandingsId,constructor_season_points,constructor_championship_standings,driver_season_wins,constructorStandingsId,points,race_finish_position,constructor_season_wins,code,surname,constructorRef
23782.0,989,20.0,6.0,5,3.0,1,1,1.0,25.0,58.0,1:29:33.283,5373283,53,4,1:26.469,220.782,1.0,2018,1,1,Australian Grand Prix,2018-03-25,05:10:00,68609.0,25.0,1.0,1.0,26933.0,40.0,1.0,1.0,VET,Vettel,ferrari
23783.0,989,1.0,131.0,44,1.0,2,2,2.0,18.0,58.0,+5.036,5378319,50,3,1:26.444,220.845,1.0,2018,1,1,Australian Grand Prix,2018-03-25,05:10:00,68610.0,18.0,2.0,0.0,26934.0,22.0,2.0,0.0,HAM,Hamilton,mercedes
23784.0,989,8.0,6.0,7,2.0,3,3,3.0,15.0,58.0,+6.309,5379592,57,2,1:26.373,221.027,1.0,2018,1,1,Australian Grand Prix,2018-03-25,05:10:00,68611.0,15.0,3.0,0.0,26933.0,40.0,1.0,1.0,RAI,Räikkönen,ferrari
23785.0,989,817.0,9.0,3,8.0,4,4,4.0,12.0,58.0,+7.069,5380352,54,1,1:25.945,222.128,1.0,2018,1,1,Australian Grand Prix,2018-03-25,05:10:00,68612.0,12.0,4.0,0.0,26935.0,20.0,3.0,0.0,RIC,Ricciardo,red_bull
23786.0,989,4.0,1.0,14,10.0,5,5,5.0,10.0,58.0,+27.886,5401169,57,7,1:26.978,219.489,1.0,2018,1,1,Australian Grand Prix,2018-03-25,05:10:00,68613.0,10.0,5.0,0.0,26936.0,12.0,4.0,0.0,ALO,Alonso,mclaren
23787.0,989,830.0,9.0,33,4.0,6,6,6.0,8.0,58.0,+28.945,5402228,54,5,1:26.880,219.737,1.0,2018,1,1,Australian Grand Prix,2018-03-25,05:10:00,68614.0,8.0,6.0,0.0,26935.0,20.0,3.0,0.0,VER,Verstappen,red_bull
23788.0,989,807.0,4.0,27,7.0,7,7,7.0,6.0,58.0,+32.671,5405954,57,9,1:27.081,219.230,1.0,2018,1,1,Australian Grand Prix,2018-03-25,05:10:00,68615.0,6.0,7.0,0.0,26937.0,7.0,5.0,0.0,HUL,Hülkenberg,renault
23789.0,989,822.0,131.0,77,15.0,8,8,8.0,4.0,58.0,+34.339,5407622,54,8,1:27.019,219.386,1.0,2018,1,1,Australian Grand Prix,2018-03-25,05:10:00,68616.0,4.0,8.0,0.0,26934.0,22.0,2.0,0.0,BOT,Bottas,mercedes
23790.0,989,838.0,1.0,2,11.0,9,9,9.0,2.0,58.0,+34.921,5408204,57,6,1:26.958,219.540,1.0,2018,1,1,Australian Grand Prix,2018-03-25,05:10:00,68617.0,2.0,9.0,0.0,26936.0,12.0,4.0,0.0,VAN,Vandoorne,mclaren
23791.0,989,832.0,4.0,55,9.0,10,10,10.0,1.0,58.0,+45.722,5419005,51,12,1:27.944,217.079,1.0,2018,1,1,Australian Grand Prix,2018-03-25,05:10:00,68618.0,1.0,10.0,0.0,26937.0,7.0,5.0,0.0,SAI,Sainz,renault
